CNo,CTitle,CDesc,NoOfUnits,HasLab,SemOffered
1,"Badger, honey",monetize interactive eyeballs,1,1,2nd
2,"Hare, arctic",unleash sticky relationships,2,1,2nd
3,"Rhi0ceros, square-lipped",maximize clicks-and-mortar metrics,1,1,1st
4,Japanese macaque,maximize vertical e-markets,1,0,Sum
5,"Kookaburra, laughing",visualize turn-key initiatives,1,0,2nd
6,"Otter, small-clawed",repurpose granular infrastructures,2,1,2nd
7,Fat-tailed dunnart,scale wireless infomediaries,2,1,2nd
8,Laughing kookaburra,target cross-media communities,1,0,1st
9,Asian elephant,synthesize open-source portals,2,1,2nd
10,"Bunting, crested",evolve turn-key e-services,1,1,Sum
11,Asiatic wild ass,synergize intuitive eyeballs,2,0,Sum
12,Miner's cat,seize cutting-edge eyeballs,3,0,Sum
13,"Squirrel, golden-mantled ground",optimize out-of-the-box interfaces,2,0,2nd
14,"Goose, cereopsis",in0vate out-of-the-box supply-chains,2,0,Sum
15,"Nutcracker, clark's",facilitate next-generation communities,1,0,2nd
16,"Dragon, western bearded",revolutionize seamless niches,1,0,2nd
17,Australian pelican,scale global deliverables,3,1,2nd
18,"Kookaburra, laughing",transform synergistic models,3,0,2nd
19,European shelduck,implement holistic applications,3,0,1st
20,Common wolf,productize global partnerships,3,0,Sum
21,Green-winged macaw,strategize dot-com initiatives,2,0,1st
22,"Hawk, galapagos",streamline wireless communities,3,1,1st
23,Kongoni,reinvent out-of-the-box models,3,1,2nd
24,"Sloth, two-toed tree",morph efficient e-commerce,2,0,1st
25,Galapagos dove,morph mission-critical metrics,1,0,2nd
26,"Dove, white-winged",architect B2C methodologies,1,1,Sum
27,"Goose, k0b-0sed",exploit dynamic web-readiness,1,0,2nd
28,"Otter, giant",brand dynamic mindshare,3,1,1st
29,Yellow-headed caracara,optimize bleeding-edge vortals,1,0,2nd
30,Downy woodpecker,seize 24/7 bandwidth,2,1,Sum
31,Indian mynah,implement mission-critical relationships,3,0,Sum
32,"Dove, little brown",embrace compelling users,2,0,2nd
33,"Snake, tiger",disintermediate value-added infomediaries,1,0,2nd
34,"Skunk, striped",revolutionize 24/365 models,2,0,2nd
35,Pied crow,recontextualize bricks-and-clicks infomediaries,2,0,2nd
36,Southern sea lion,redefine 24/365 applications,3,0,Sum
37,"Crane, stanley",enhance web-enabled bandwidth,2,0,2nd
38,"Capuchin, black-capped",visualize global e-business,2,1,Sum
39,"Cat, native",iterate ubiquitous bandwidth,1,0,Sum
40,"Skunk, western spotted",cultivate transparent solutions,3,0,Sum
41,Water moccasin,seize strategic models,3,0,Sum
42,Malabar squirrel,scale dynamic solutions,1,1,1st
43,"Legaan, Monitor (unidentified)",integrate killer partnerships,2,1,1st
44,Gray langur,mesh wireless networks,2,1,Sum
45,Sage hen,expedite integrated infomediaries,1,1,2nd
46,Mudskipper (unidentified),implement out-of-the-box supply-chains,1,0,Sum
47,"Shrike, crimson-breasted",integrate one-to-one supply-chains,2,1,1st
48,"Shark, blue",e-enable plug-and-play interfaces,1,1,1st
49,Manatee,embrace best-of-breed e-tailers,2,0,1st
50,"Loris, slender",revolutionize bricks-and-clicks mindshare,3,1,2nd
51,"Heron, boat-billed",empower robust platforms,1,0,Sum
52,"Boa, emerald green tree",incentivize magnetic deliverables,2,1,2nd
53,"Dolphin, bottle-0se",revolutionize user-centric platforms,1,1,1st
54,"Eagle, golden",generate impactful solutions,1,1,1st
55,"Macaw, scarlet",e-enable virtual markets,1,0,2nd
56,Cape cobra,transition seamless relationships,2,1,2nd
57,Barasingha deer,architect sticky functionalities,1,0,Sum
58,"Kookaburra, laughing",seize user-centric platforms,2,1,Sum
59,"Avocet, pied",leverage visionary interfaces,1,0,Sum
60,White-necked raven,strategize cutting-edge communities,3,0,2nd
61,Indian tree pie,utilize cutting-edge ROI,1,0,Sum
62,Sarus crane,visualize front-end infomediaries,3,0,Sum
63,"Sheep, red",facilitate cross-platform networks,2,1,2nd
64,"Tortoise, burmese brown mountain",deploy magnetic partnerships,2,0,Sum
65,Grant's gazelle,empower enterprise interfaces,1,0,1st
66,Jaguarundi,matrix strategic eyeballs,2,0,2nd
67,"Baboon, olive",harness extensible experiences,2,0,Sum
68,Thomson's gazelle,transition magnetic systems,2,1,Sum
69,"Heron, black-crowned night",productize cross-media infrastructures,3,0,Sum
70,"Bulbul, african red-eyed",disintermediate virtual platforms,3,0,2nd
71,Yellow-billed hornbill,transform sticky deliverables,3,0,1st
72,"Barbet, crested",architect one-to-one infomediaries,2,1,Sum
73,Groundhog,brand transparent markets,3,0,Sum
74,White-fronted bee-eater,redefine granular bandwidth,3,1,1st
75,"Badger, american",expedite front-end tech0logies,1,0,Sum
76,"Kangaroo, red",whiteboard leading-edge e-tailers,3,0,1st
77,Brolga crane,revolutionize revolutionary methodologies,1,0,1st
78,White-headed vulture,optimize next-generation platforms,3,0,2nd
79,"Heron, gray",leverage magnetic deliverables,3,1,Sum
80,"Peacock, indian",exploit best-of-breed infrastructures,2,1,2nd
81,"Wallaby, whip-tailed",seize extensible synergies,1,0,1st
82,Little brown bat,facilitate bleeding-edge convergence,3,1,Sum
83,"Langur, gray",revolutionize efficient e-business,2,0,2nd
84,Bonnet macaque,brand killer vortals,3,0,Sum
85,"Cobra, cape",e-enable viral systems,1,1,1st
86,"Capuchin, white-fronted",reinvent magnetic markets,2,1,2nd
87,"Monkey, bleeding heart",architect global e-services,1,0,Sum
88,"Cat, european wild",repurpose in0vative mindshare,2,1,Sum
89,"Booby, masked",enhance sticky infomediaries,2,1,Sum
90,"Bat, madagascar fruit",productize ubiquitous solutions,1,0,2nd
91,"Wallaby, dama",whiteboard value-added methodologies,2,1,1st
92,"Seal, 0rthern elephant",syndicate transparent channels,1,0,2nd
93,Black-tailed tree creeper,monetize granular partnerships,1,0,Sum
94,Silver gull,embrace 24/365 interfaces,1,1,Sum
95,"Hartebeest, coke's",monetize customized e-commerce,3,0,1st
96,"Armadillo, seven-banded",envisioneer revolutionary paradigms,3,1,1st
97,"Ferret, black-footed",monetize front-end relationships,2,0,1st
98,"Peccary, white-lipped",incentivize enterprise architectures,2,1,2nd
99,Hanuman langur,streamline robust solutions,3,1,2nd
100,Dabchick,matrix next-generation initiatives,3,0,2nd
101,"Armadillo, seven-banded",embrace cross-platform eyeballs,2,0,2nd
102,"Bushbaby, large-eared",incubate sexy vortals,1,0,1st
103,Crowned eagle,utilize B2B systems,1,0,Sum
104,Ground monitor (unidentified),deliver dynamic mindshare,2,0,1st
105,Bontebok,grow bricks-and-clicks e-commerce,2,1,Sum
106,Giant armadillo,mesh world-class systems,2,0,2nd
107,"Deer, mule",embrace intuitive partnerships,2,0,1st
108,"Tortoise, indian star",in0vate web-enabled functionalities,2,0,2nd
109,Levaillant's barbet,scale intuitive content,1,1,1st
110,Rainbow lory,exploit holistic infrastructures,2,0,1st
111,Brown lemur,redefine 24/365 ROI,3,1,1st
112,"Kangaroo, red",optimize frictionless e-commerce,2,0,2nd
113,"Dove, rock",redefine open-source infomediaries,1,1,Sum
114,Wattled crane,grow web-enabled web services,3,1,Sum
115,"Stork, white",enable killer functionalities,2,0,2nd
116,"Goose, egyptian",exploit virtual experiences,3,0,1st
117,"Wallaby, river",transition killer mindshare,2,0,1st
118,Indian porcupine,strategize integrated tech0logies,2,1,Sum
119,Indian peacock,brand back-end portals,3,1,Sum
120,"Starling, greater blue-eared",enable killer niches,3,0,1st
121,"Quoll, spotted-tailed",maximize frictionless content,2,0,1st
122,"Rhi0ceros, white",deploy in0vative applications,1,0,2nd
123,"Grebe, little",evolve bricks-and-clicks metrics,2,1,1st
124,"Capuchin, weeper",utilize cross-media eyeballs,1,0,2nd
125,"Goose, s0w",revolutionize enterprise schemas,3,0,1st
126,"Gnu, brindled",productize user-centric systems,1,1,2nd
127,Canadian river otter,synthesize revolutionary synergies,3,0,1st
128,Malay squirrel (unidentified),deliver B2B synergies,2,0,1st
129,"Egret, s0wy",matrix plug-and-play web-readiness,2,1,2nd
130,"Lemur, lesser mouse",streamline dot-com e-business,2,0,Sum
131,Flightless cormorant,facilitate value-added applications,2,0,1st
132,Indian peacock,synthesize cross-media vortals,1,0,Sum
133,White-winged dove,reintermediate open-source bandwidth,3,0,1st
134,Common wolf,harness cross-media supply-chains,3,0,2nd
135,Nine-banded armadillo,embrace efficient ROI,3,1,2nd
136,Hanuman langur,monetize value-added paradigms,3,1,Sum
137,"Cormorant, little",generate clicks-and-mortar bandwidth,3,1,Sum
138,Python (unidentified),transform intuitive partnerships,3,0,2nd
139,"Thrasher, curve-billed",orchestrate virtual systems,2,0,2nd
140,Blue shark,in0vate granular partnerships,1,0,2nd
141,Two-toed sloth,benchmark intuitive e-services,2,1,Sum
142,Southern tamandua,facilitate sexy paradigms,3,1,1st
143,"Deer, roe",redefine cutting-edge markets,3,1,1st
144,Hudsonian godwit,deploy sticky content,2,1,1st
145,Lizard (unidentified),morph one-to-one paradigms,1,0,1st
146,"Rattlesnake, dusky",drive web-enabled e-markets,1,0,1st
147,Frilled lizard,syndicate dynamic partnerships,3,1,Sum
148,American crow,cultivate holistic web-readiness,2,1,1st
149,"Cat, jungle",morph customized web services,1,1,Sum
150,Tasmanian devil,harness granular initiatives,2,1,1st
151,White-lipped peccary,transform world-class e-tailers,2,0,1st
152,"Dragon, komodo",transform global mindshare,2,1,2nd
153,"Kangaroo, red",expedite front-end mindshare,1,0,2nd
154,Cape wild cat,architect intuitive e-tailers,3,0,1st
